Project: DesignGalleryProject    Server: elite-tfsapp.elitecorp.com\DTSCollection    Query: Remaining 3.0    List type: Flat    ,,,,,,,,,,,,
ID,Backlog Priority,Release Version,Work Item Type,Title,Effort,State,Tags,Iteration Path,Area Path,Severity,Created Date,Closed Date
29902,107,3.0.0,Product Backlog Item,(3.0.0) Sprint 86 - Sanity Testing of EDG 3.0,2,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 86,\Activities,,20/07/2015 1:38 PM,31/07/2015 8:46 AM
33196,108,2.6,Product Backlog Item,5 - 3E Attachment Plugin Release,1,Done,Analyzed,\3.0.0\3.0 TPR\Sprint 91,\Defects\2.X,,28/09/2015 8:54 AM,08/10/2015 3:32 PM
23782,110,3.0.0,Product Backlog Item,(3.0.0) SOLUTION MANAGER\TREEVIEW DISPLAY\WORKFLOWS: Ability to unlock workflows,3,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 86,\Activities,,24/03/2015 12:34 PM,06/08/2015 8:54 AM
28535,114,3.0.0,Bug,* (3.0.0) When offline from repository cannot create WorkFlow,1,Done,,\3.0.0\3.0 TPR\Sprint 83,\Defects,2 - High,16/06/2015 9:45 AM,17/06/2015 2:10 PM
33195,118,2.6,Product Backlog Item,6 - 3E Attachment Plugin Testing,2,Done,Analyzed,\3.0.0\3.0 TPR\Sprint 91,\Defects\2.X,,28/09/2015 8:52 AM,09/10/2015 7:21 AM
28525,136,3.0.0,Bug,* Impossible to overwrite version of existing component,1,Done,,\3.0.0\3.0 TPR\Sprint 83,\Defects,3 - Medium,16/06/2015 9:16 AM,18/06/2015 3:22 PM
28271,136,3.0.0,Product Backlog Item,(3.0.0) Smoke Testing of Sprint 82,2,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 83,\Activities,,11/06/2015 10:11 AM,17/06/2015 4:25 AM
28269,136,3.0.0,Product Backlog Item,Configure Vantage & Test Environment with latest builds,5,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 83,\Activities,,11/06/2015 9:26 AM,16/06/2015 3:28 PM
29712,141,3.0.0,Product Backlog Item,(DEV) Training: Advanced MVVM/WPF,3,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 88,\Activities\Dev,,13/07/2015 11:37 AM,02/09/2015 8:20 AM
25458,141,3.0.0,Product Backlog Item,(DEV) Training: Advanced MVVM/WPF,5,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 86,\Activities\Dev,,28/04/2015 10:25 AM,31/07/2015 9:13 AM
28524,148,3.0.0,Bug,* (3.0.0) Getting Error with component check in - and with local files/folders deleted unexpectedly,1,Done,,\3.0.0\3.0 TPR\Sprint 83,\Defects,2 - High,16/06/2015 8:43 AM,17/06/2015 2:03 PM
24923,148,3.0.0,Product Backlog Item,*3E Test Case Review for EDG Execution Purposes Part II,2,Done,Capitalize,\3.0.0\3.0 Alpha\Sprint 78,\Activities\Dev,,15/04/2015 10:55 AM,15/04/2015 3:53 PM
17750,167,3.0.0,Product Backlog Item,(3.0.0) API - Ability to get content based on ID and version,3,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 83,\Activities,,26/11/2014 4:26 PM,17/06/2015 2:01 PM
16970,169,3.0.0,Product Backlog Item,(3.0.0) SPIKE: Workflow Designer - Brainstorming,8,Done,,\3.0.0\3.0 Alpha\Sprint 69,\Activities,,18/11/2014 2:19 PM,11/08/2015 11:14 AM
33183,194,3.0.0,Product Backlog Item,(3.0.0) WORKFLOWS: File Acquisition Workflow - need to archive input file,2,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 91,\Activities,,25/09/2015 5:57 PM,21/10/2015 1:46 PM
16427,196,3.0.0,Product Backlog Item,(3.0.0) PHASE 1: Performance metrics,8,Done,Analyzed,\3.0.0\3.0 Alpha\Sprint 69,\Activities,,03/11/2014 2:30 PM,11/08/2015 11:14 AM
30735,210,3.0.0,Product Backlog Item,(3.0.0) EvaluteXPath: Support dynamic return objects,5,Done,Analyzed; Capitalize,\3.0.0\3.0 TPR\Sprint 87,\Activities,,05/08/2015 11:12 AM,13/08/2015 10:30 AM
16428,210,3.0.0,Product Backlog Item,(3.0.0) API PHASE 1: Workflow Synchronization,8,Done,Analyzed,\3.0.0\3.0 Alpha\Sprint 69,\Activities,,03/11/2014 2:36 PM,11/08/2015 11:14 AM
24102,214,3.0.0,Product Backlog Item,* DEV: VM Setup for eDocs Support,2,Done,,\3.0.0\3.0 Alpha\Sprint 77,\Activities\Dev,,31/03/2015 2:11 PM,31/03/2015 4:58 PM
29133,216,3.0.0,Product Backlog Item,(3.0.0) EWF Package update,3,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 84,\Activities,,25/06/2015 11:08 AM,26/06/2015 8:42 AM
29132,231,3.0.0,Product Backlog Item,(3.0.0) SPIKE: Work with EVD team to gather integration requirements,8,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 84,\Activities,,25/06/2015 11:03 AM,07/07/2015 9:05 AM
28891,246,3.0.0,Product Backlog Item,Treeview: Revise repository communication for checkin,3,Done,Capitalize,\3.0.0\3.0 TPR\Sprint 84,\Activities,,24/06/2015 11:12 PM,07/07/2015 9:07 AM
