Project: DesignGalleryProject    Server: elite-tfsapp.elitecorp.com\DTSCollection    Query: Remaining 3.0    List type: Flat    ,,,,,,,,,
ID,Work Item Type,Tags,Title,Effort,State,Iteration Path,Area Path,Severity,Created Date
38519,Product Backlog Item,,~(3.0.0) SOLUTION MANAGER: Write traceability matrix,5,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager,,14/12/2015 11:03 AM
38518,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: BETA RC1: Smoke testing,1,Done,\3.0.0\3.0 Beta\Sprint 99,\Solution Manager\Testing,,14/12/2015 11:00 AM
38515,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: Stress testing,3,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager\Testing,,14/12/2015 10:30 AM
30046,Bug,Analyzed; PM-PriorityMed,VERIFY:(3.0.0) SOLUTION MANAGER: Mouseover of Lock Icon not showing correct time,1,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,3 - Medium,22/07/2015 10:00 AM
30131,Bug,Analyzed; PM-PriorityLow,(3.0.0) SOLUTION MANAGER: Getting false validation error on Workflow name,2,Done,\3.0.0\3.0 TPR\Sprint 94  (3.0.0 TPR As Deliverable),\Solution Manager,3 - Medium,23/07/2015 8:17 AM
30404,Bug,PM-PriorityMed,Verify: (3.0.0) SOLUTION MANAGER: Conflict indicator doesn`t work well for child component in case of conflict name,0.5,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,3 - Medium,28/07/2015 9:15 AM
30652,Bug,Analyzed; PM-PriorityHigh; Verify,VERIFY: (3.0.0) SOLUTION MANAGER: PREVIEW: Use of regex to match WF to source file not working,0.5,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,3 - Medium,31/07/2015 11:35 AM
30723,Bug,Analyzed; PM-PriorityLow,Verify: (3.0.0) SOLUTION MANAGER: Issue with CheckIn if Workspace Local Folder differs from one used at CheckOut,0.5,Done,\3.0.0\3.0 TPR\Sprint 92,\Solution Manager,3 - Medium,05/08/2015 8:29 AM
38514,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: BETA RC2: End-to-end testing,3,Done,\3.0.0\3.0 Beta\Sprint 100  (3.0.0 BETA As Deliverable),\Solution Manager\Testing,,14/12/2015 10:27 AM
31724,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: Rename Workflow Designer tab,2,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,21/08/2015 11:18 AM
38513,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: Compatibility testing,2,Done,\3.0.0\3.0 Beta\Sprint 97,\Solution Manager,,14/12/2015 10:23 AM
31793,Bug,PM-PriorityHigh,(3.0.0) Solution Manager: Deleting workspace - missing buttons in the confirmation dialog,1,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,3 - Medium,25/08/2015 12:53 PM
31795,Bug,PM-PriorityMed,"(3.0.0) Solution Manager: Excess context menu item ""Cancel"" in several places",2,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,4 - Low,25/08/2015 1:17 PM
38512,Product Backlog Item,,~ (3.0.0) SOLUTION MANAGER: System testing,3,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager,,14/12/2015 10:23 AM
38511,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: UX testing,5,Done,\3.0.0\3.0 Beta\Sprint 98,\Solution Manager\Testing,,14/12/2015 10:21 AM
31809,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: Mark a file as production ready,5,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,,25/08/2015 3:46 PM
31833,Bug,PM-PriorityMed,"(3.0.0) Solution Manager: Editor tabs - wrong shortcut for ""Close"" in the context menu",1,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,4 - Low,26/08/2015 9:30 AM
31932,Product Backlog Item,Analyzed; Capitalize,~1 - (3.0.0) Solution Manager: Update EDG.API/SM to have Component.Parent as a list(of Workflow),5,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,,27/08/2015 3:23 PM
31934,Product Backlog Item,Capitalize,(3.0.0) SOLUTION MANAGER: Revisit metadata saving functions for the matches,3,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,27/08/2015 3:43 PM
31937,Product Backlog Item,Analyzed; Capitalize,~2 - (3.0.0) Solution Manager: Update Cache methods to handle Shared Components,5,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,,27/08/2015 4:16 PM
31949,Product Backlog Item,Analyzed; Capitalize,VERIFY: (3.0.0) SOLUTION MANAGER: Moving and Renaming a component needs to handle Shared Components,0.5,Done,\3.0.0\3.0 TPR\Sprint 93,\Solution Manager,,27/08/2015 4:59 PM
31950,Product Backlog Item,Analyzed; Capitalize,VERIFY: (3.0.0) SOLUTION MANAGER: Update Merge process to take into account Shared Components,0.5,Done,\3.0.0\3.0 TPR\Sprint 93,\Solution Manager,,27/08/2015 5:04 PM
31951,Product Backlog Item,Analyzed; Capitalize,(3.0.0) SOLUTION MANAGER: Add new Shared Component View,8,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,,27/08/2015 5:06 PM
31952,Product Backlog Item,Analyzed; Capitalize,~(3.0.0) SOLUTION MANAGER: Share component Context Menu,13,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,27/08/2015 5:07 PM
31964,Product Backlog Item,Analyzed; Capitalize,~(3.0.0) SOLUTION MANAGER: UnShare component Context Menu,8,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,,28/08/2015 9:38 AM
32252,Product Backlog Item,Capitalize; DEV Feedback,~ DEV: (3.0.0) SOLUTION MANAGER: Improve the Solution Manager build process for testing,2,Done,\3.0.0\3.0 TPR\Sprint 93,\Solution Manager\Dev,,03/09/2015 9:08 AM
32409,Bug,PM-PriorityHigh,* (3.0.0)Solution Manager:Workflow components not showing in treeview on SM restart,1,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,2 - High,04/09/2015 2:15 PM
32458,Bug,PM-PriorityHigh,Verify: (3.0.0) SOLUTION MANAGER: The state of components are corrupted in case of resolve conflict,0.5,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,2 - High,08/09/2015 5:14 AM
32459,Bug,PM-PriorityMed,Verify: (3.0.0) Solution Manager: The metadata file is appeared in case of unlock workflow or component,0.5,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,2 - High,08/09/2015 5:20 AM
32469,Bug,PM-PriorityMed,(3.0.0) Solution Manager: User cannot create  aworkflow after creating workspace(at once),2,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,2 - High,08/09/2015 7:22 AM
32475,Bug,PM-PriorityMed,(3.0.0)Solution Manager: The workflow tree should be opened in case when user creates new component under it,2,Done,\3.0.0\3.0 TPR\Sprint 91,\Solution Manager,3 - Medium,08/09/2015 7:32 AM
32478,Bug,PM-PriorityHigh,* VERIFY: (3.0.0)Solution Manager: The function of renaming of workflow and component has been broken,0.5,Done,\3.0.0\3.0 TPR\Sprint 90,\Solution Manager,2 - High,08/09/2015 7:54 AM
38507,Product Backlog Item,,(3.0.0) SOLUTION MANAGER: Testing 3.0 pre Beta Regression cleanup,0,Done,\3.0.0\3.0 Beta,\Solution Manager,,14/12/2015 10:17 AM
