SPRINT,TARGETED_RELEASE_DATE,TRENDING_RELEASE_DATE,RELEASE_CONFIDENCE_PERCENTAGE,SPRINT_RELEASE_COMFORT_PERCENTAGE,PLANNED_SPRINT_VELOCITY,TOTAL_RELEASE_DEFECT_POINTS,TOTAL_RELEASE_PBI_POINTS,TOTAL_RELEASE_WORKORDER_POINTS
1,,,,,55,67,366,0
2,,,,,48,67,366,0
